1,1,-18.49000275,00:00:22
2,0,-18.37696386,00:01:53
3,0,-17.25819164,00:03:22
4,1,-15.08060235,00:04:55
5,1,-18.45780782,00:06:25
6,0,-19.35633909,00:07:54
7,2,-16.40154636,00:09:27
8,1,-18.57048392,00:10:58
9,3,-14.74848368,00:12:33
10,0,-17.42697447,00:14:05
11,1,-16.87614639,00:15:38
12,0,-18.94935201,00:17:09
13,1,-19.10462698,00:18:38
14,0,-16.06899982,00:20:08
15,0,-18.0016772,00:21:37
16,0,-20.08892083,00:23:07
17,1,-17.19069582,00:24:38
18,2,-13.51414366,00:26:13
19,1,-17.0964109,00:27:47
20,1,-16.33418763,00:29:20
21,1,-15.1610715,00:30:55
22,1,-18.02098308,00:32:28
23,2,-13.48213055,00:34:02
24,0,-18.73836763,00:35:33
25,0,-17.88550716,00:37:00
26,0,-15.98111969,00:38:32
27,1,-17.49197371,00:40:04
28,1,-16.91247024,00:41:38
29,0,-20.2687538,00:43:02
30,1,-17.89604425,00:44:30
31,3,-14.54675015,00:46:07
32,0,-18.74103839,00:47:35
33,1,-15.68062892,00:49:04
34,0,-17.63360936,00:50:33
35,0,-18.64111372,00:51:58
36,0,-18.03405617,00:53:26
37,0,-16.77355217,00:54:55
38,0,-17.3196725,00:56:28
39,2,-14.22181312,00:58:05
40,0,-17.21105479,00:59:33
41,1,-15.56118443,01:01:08
42,2,-14.53561274,01:02:42
43,1,-15.4619109,01:04:15
44,0,-22.76438471,01:05:38
45,1,-19.01695319,01:07:04
46,0,-19.64395067,01:08:24
47,1,-17.7542454,01:09:54
48,1,-15.46805666,01:11:24
49,0,-18.09991335,01:12:53
50,1,-20.64894518,01:14:20
51,0,-19.39328621,01:15:51
52,1,-18.47292519,01:17:17
53,0,-17.10869177,01:18:47
54,0,-17.70838991,01:20:16
55,0,-14.83923007,01:21:42
56,0,-17.64448692,01:23:13
57,1,-14.00934808,01:24:44
58,1,-16.71091168,01:26:14
59,0,-18.16275651,01:27:33
60,0,-14.9792813,01:29:02
61,0,-17.33647224,01:30:26
62,1,-15.1958131,01:31:54
63,0,-17.19203578,01:33:23
64,1,-16.22546868,01:34:50
65,2,-16.57167766,01:36:19
66,0,-17.4524152,01:37:49
67,0,-15.75011217,01:39:20
68,1,-15.63068024,01:40:54
69,0,-14.2043678,01:42:16
70,1,-17.54919256,01:43:48
71,2,-13.54483858,01:45:24
72,0,-15.31006046,01:46:56
73,1,-15.07106953,01:48:25
74,0,-17.30122322,01:49:55
75,0,-14.80887638,01:51:24
76,0,-15.59929143,01:52:56
77,1,-14.84736081,01:54:25
78,2,-12.34310245,01:55:58
79,0,-16.57377408,01:57:20
80,1,-15.80764007,01:58:54
81,0,-18.21919794,02:00:27
82,1,-15.91106027,02:02:00
83,1,-14.08528503,02:03:32
84,0,-16.71691485,02:05:04
85,1,-15.36492593,02:06:30
86,3,-10.7412627,02:08:04
87,0,-16.55927137,02:09:34
88,1,-15.26099621,02:10:59
89,2,-11.53357565,02:12:29
90,1,-14.32090463,02:13:59
91,2,-13.05238423,02:15:36
92,3,-12.14915777,02:17:09
93,1,-13.63054797,02:18:43
94,2,-14.24700664,02:20:19
95,0,-13.16292331,02:21:53
96,2,-13.83160446,02:23:27
97,3,-11.36143903,02:25:08
98,0,-17.18776301,02:26:37
99,0,-15.81071037,02:28:07
100,1,-13.32114055,02:29:42
101,0,-13.81492286,02:31:14
102,2,-11.8332305,02:32:50
103,1,-14.85935874,02:34:26
104,3,-11.52708373,02:36:05
